listing_id,title,community,city,district,monthly_rent,payment_method,deposit,service_fee,agency_fee,rental_type,bedrooms,living_rooms,bathrooms,area_sqm,decoration,orientation,floor_level,total_floors,elevator,parking,water_type,electricity_type,gas,heating,broadband,move_in_date,lease_term,viewing,facilities,tags,verification_status,publisher_compliance,maintenance_date,availability_status,latitude,longitude,coordinate_type,source,source_url,baidu_uid,coordinate_source,coordinate_query,geocode_status,geocode_error,coordinate_updated_at
SZ1913450501664407552,整租·阳光天健城 1室0厅 东南,阳光天健城,深圳市,龙岗区,2000,月付,2000,需咨询,0,整租,1,0,1,36.0,精装修,东南,低楼层,27.0,是,暂无数据,民水,民电,是,否,否,2026-07-01,暂无数据,随时可看,洗衣机;空调;衣柜;冰箱;热水器;床;天然气,贝壳省心租;近地铁;精装;押一付一;随时看房,贝壳验真,营业执照已展示,2026-06-14,在租,22.707538,114.226853,bd09ll,贝壳,,c48f8aae6cd1392e715e8008,baidu_place_search,place:深圳市龙岗区阳光天健城,success,,2026-06-15T11:20:33+08:00
SZ2052632163626516480,整租·阳光天健城 1室1厅 东/东南,阳光天健城,深圳市,龙岗区,2700,月付,2700,需咨询,0,整租,1,1,1,44.32,精装修,东/东南,低楼层,27.0,是,暂无数据,民水,民电,是,是,是,2026-06-21,暂无数据,随时可看,洗衣机;空调;衣柜;电视;冰箱;热水器;床;暖气;宽带;天然气,贝壳省心租;近地铁;精装;押一付一;随时看房,贝壳验真,营业执照已展示,2026-06-14,在租,22.707538,114.226853,bd09ll,贝壳,,c48f8aae6cd1392e715e8008,baidu_place_search,place:深圳市龙岗区阳光天健城,success,,2026-06-15T11:20:33+08:00
SZ2173395280471261184,整租·森雅谷 2室1厅 东南,森雅谷,深圳市,龙岗区,3500,月付,7000,0,需咨询,整租,2,1,1,60.98,精装修,东南,高楼层,16.0,是,租用车位,民水,民电,是,否,否,随时入住,1年以内,需提前预约,洗衣机;空调;衣柜;电视;冰箱;热水器;床;天然气,必看好房;近地铁;精装;随时看房,贝壳验真,发布人未登记且机构未合规备案,2026-06-12,在租,22.682632,114.234504,bd09ll,贝壳,,03950dbdff9180da8bfc06c6,baidu_place_search,place:深圳市龙岗区森雅谷,success,,2026-06-15T11:22:30+08:00
SZ2166567027454509056,整租·颐安·都会中央五期 4室2厅 南,颐安·都会中央五期,深圳市,龙岗区,7000,月付,14000,0,需咨询,整租,4,2,2,109.0,精装修,南,高楼层,30.0,是,租用车位,民水,民电,是,否,否,2026-06-15,2年以内,需提前预约,洗衣机;空调;衣柜;电视;冰箱;热水器;床;天然气,必看好房;近地铁;精装;双卫生间;随时看房,贝壳验真,发布机构未合规备案,2026-06-14,在租,22.696571,114.231127,bd09ll,贝壳,,47d00689c7989da78715412a,baidu_place_search,place:深圳市龙岗区颐安·都会中央五期,success,,2026-06-15T11:22:33+08:00
SZ2142589194000662528,整租·颐安·都会中央3期 4室2厅 南/北,颐安·都会中央3期,深圳市,龙岗区,6500,月付,13000,0,需咨询,整租,4,2,2,109.0,精装修,南/北,高楼层,32.0,是,暂无数据,民水,民电,是,否,否,随时入住,暂无数据,需提前预约,洗衣机;空调;衣柜;电视;冰箱;热水器;床;天然气,必看好房;近地铁;精装;双卫生间;随时看房,贝壳验真,发布人未登记且机构未合规备案,2026-06-04,在租,22.690375,114.229488,bd09ll,贝壳,,c6eb844c3942ae3b6f3e1b88,baidu_place_search,place:深圳市龙岗区颐安·都会中央3期,success,,2026-06-15T11:22:34+08:00
SZ2167821247579160576,整租·森泉雅轩 2室1厅 东/西,森泉雅轩,深圳市,龙岗区,3400,月付,6800,0,需咨询,整租,2,1,1,76.0,精装修,东/西,中楼层,24.0,是,租用车位,民水,民电,是,否,是,随时入住,1年以内,需提前预约,洗衣机;空调;衣柜;电视;冰箱;热水器;床;宽带;天然气,必看好房;近地铁;精装;随时看房,贝壳验真,来源文本合规状态冲突需人工核验,2026-06-03,在租,22.684778,114.234252,bd09ll,贝壳,,d85afd89462f0a99d12dd663,baidu_place_search,place:深圳市龙岗区森泉雅轩,success,,2026-06-15T11:22:35+08:00
SZ2171282941546594304,整租·森雅谷 1室0厅 东北,森雅谷,深圳市,龙岗区,2000,月付,4000,0,需咨询,整租,1,0,1,36.66,精装修,东北,低楼层,16.0,是,暂无数据,民水,民电,是,否,否,随时入住,1年以内,需提前预约,洗衣机;空调;衣柜;冰箱;热水器;床;天然气,必看好房;近地铁;精装,贝壳验真,来源文本合规状态冲突需人工核验,2026-06-14,在租,22.682632,114.234504,bd09ll,贝壳,,03950dbdff9180da8bfc06c6,baidu_place_search,place:深圳市龙岗区森雅谷,success,,2026-06-15T11:22:30+08:00
SZ2160247826741723136,整租·THETOWN乐城 2室2厅 南,THETOWN乐城,深圳市,龙岗区,3800,月付,7600,0,需咨询,整租,2,2,1,79.37,精装修,南,低楼层,33.0,是,暂无数据,民水,民电,是,否,否,随时入住,1年以内,需提前预约,洗衣机;空调;衣柜;电视;冰箱;热水器;床;天然气,必看好房;近地铁;精装;随时看房,贝壳验真,发布人未登记且机构未合规备案,2026-06-09,在租,22.68218,114.2308,bd09ll,贝壳,,b6139e683e7917d6e6e9652d,baidu_place_search,place:深圳市龙岗区THETOWN乐城,success,,2026-06-15T11:22:37+08:00
SZ2127625781487075328,整租·THETOWN乐城 3室2厅 西/西北,THETOWN乐城,深圳市,龙岗区,4700,月付,9400,0,需咨询,整租,3,2,2,89.92,精装修,西/西北,中楼层,33.0,是,暂无数据,民水,民电,是,是,是,随时入住,1年以内,需提前预约,洗衣机;空调;衣柜;电视;冰箱;热水器;床;暖气;宽带;天然气,必看好房;近地铁;精装;双卫生间;随时看房,贝壳验真,发布人未登记且机构未合规备案,2026-06-12,在租,22.68218,114.2308,bd09ll,贝壳,,b6139e683e7917d6e6e9652d,baidu_place_search,place:深圳市龙岗区THETOWN乐城,success,,2026-06-15T11:22:37+08:00
SZ2166921034270244864,整租·阳光天健城 1室1厅 西北,阳光天健城,深圳市,龙岗区,3000,月付,6000,0,需咨询,整租,1,1,1,45.0,精装修,西北,中楼层,27.0,是,暂无数据,民水,民电,是,否,否,随时入住,暂无数据,需提前预约,洗衣机;空调;冰箱;热水器;床;天然气,必看好房;近地铁;精装;随时看房,贝壳验真,发布机构未合规备案,2026-06-13,在租,22.707538,114.226853,bd09ll,贝壳,,c48f8aae6cd1392e715e8008,baidu_place_search,place:深圳市龙岗区阳光天健城,success,,2026-06-15T11:20:33+08:00
