case_id,hit_rate@5,precision@5,recall@5,mrr@5,ndcg@5,budget_extract_acc,cuisine_extract_acc,scene_extract_acc,distance_extract_acc,avoid_spicy_extract_acc,vegetarian_extract_acc,budget_sat,distance_sat,cuisine_sat,latency_ms,retriever_mode,pipeline_mode,recommended
1,1.0,0.6,0.75,1.0,0.8048099750039491,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6,19.16720000000005,hybrid,hybrid,蔡澜点心·粤菜(龙岗大运天地店)|客语客家菜(大运天地店)|悦得闲广式点心茶楼(天光店)|客家本色·客家菜(龙岗星河COCO Park店)|文通冰室(大运天地店)
2,1.0,0.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4,11.637299999999406,hybrid,hybrid,星巴克(深圳香港中文大学店)|深圳市龙岗区湖畔咖啡|文通冰室(大运天地店)|深圳信息职业技术大学-B饭堂|Potato Corner(深圳大运天地店)
3,1.0,0.6,1.0,1.0,0.9674679834891693,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,18.274400000000135,hybrid,hybrid,巡味顺德菜(大运店)|南粤春·奥林宾馆·早茶粤菜·海鲜火锅|悦得闲广式点心茶楼(天光店)|浙澜小馆·东海小海鲜(大运旗舰店)|蔡澜点心·粤菜(龙岗大运天地店)
4,1.0,0.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4,12.179699999999904,hybrid,hybrid,香港茗星坊茶餐厅(大运天地店)|文通冰室(大运天地店)|Potato Corner(深圳大运天地店)|萨莉亚意式餐厅(爱联站天光城店)|深圳信息职业技术大学-B饭堂
5,1.0,0.6,0.6,1.0,0.7227265726449519,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,14.590699999999401,hybrid,hybrid,Thy yeah·泰嘢西泰料理(大运天地店)|绿茶餐厅(龙岗星河COCO park店)|文通冰室(大运天地店)|深圳市龙岗区湖畔咖啡|木屋烧烤(大运店)
6,1.0,0.4,0.4,1.0,0.48522855511632257,1.0,1.0,1.0,0.0,1.0,1.0,0.4,1.0,1.0,21.00040000000014,hybrid,hybrid,深圳信息职业技术大学-B饭堂|文通冰室(大运天地店)|黔山QIANSHAAN·贵州菜(大运天地店)|Potato Corner(深圳大运天地店)|绿茶餐厅(龙岗星河COCO park店)
7,1.0,0.6,1.0,1.0,0.8854598815714874,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,16.46069999999966,hybrid,hybrid,鑫运齐齐哈尔烤肉(大运店)|皖厨·中国徽菜(龙岗大运天地店)|木屋烧烤(大运店)|PINTXOS品巧思西班牙小馆(大运天地店)|很久以前羊肉串(大运天地店)
8,1.0,0.4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4,17.89820000000031,hybrid,hybrid,原石牛扒·欢聚·氛围感(大运天地店)|PINTXOS品巧思西班牙小馆(大运天地店)|西塔老太太泥炉烤肉(龙岗星河COCOPARK店)|潇湘四伙记(大运店)|浙澜小馆·东海小海鲜(大运旗舰店)
9,1.0,0.6,0.75,1.0,0.8318724637288826,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6,15.05259999999975,hybrid,hybrid,blend(大运天地店)|深圳市龙岗区湖畔咖啡|GE BAKE·SHORE(大运天地店)|吴庄(龙岗大运天地店)|费大厨辣椒炒肉(大运天地店)
10,1.0,0.6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8,14.966000000000257,hybrid,hybrid,湘里帮厨(大运店)|费大厨辣椒炒肉(大运天地店)|潇湘四伙记(大运店)|南粤春·奥林宾馆·早茶粤菜·海鲜火锅|吴庄(龙岗大运天地店)
11,1.0,0.4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4,10.925699999999594,hybrid,hybrid,香港茗星坊茶餐厅(大运天地店)|文通冰室(大运天地店)|萨莉亚意式餐厅(爱联站天光城店)|深圳信息职业技术大学-B饭堂|Potato Corner(深圳大运天地店)
12,1.0,0.6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6,14.318500000000789,hybrid,hybrid,客家本色·客家菜(龙岗星河COCO Park店)|客语客家菜(大运天地店)|客家园.山野土菜.宴席(爱联店)|悦得闲广式点心茶楼(天光店)|潇湘四伙记(大运店)
13,1.0,0.4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,15.855099999999567,hybrid,hybrid,潮发潮汕牛肉店(大运天地店)|八合里潮汕鲜牛肉火锅(龙岗星河CoCo Park店)|清潮·潮菜(龙岗大运天地店)|MUJINY木槿钰·创意韩餐(大运天地店)|潮巷·潮州粿条·潮汕风味专门店(龙岗大运天地店)
14,1.0,0.4,0.6666666666666666,1.0,0.7653606369886217,1.0,1.0,1.0,1.0,1.0,1.0,0.4,1.0,1.0,16.042699999999854,hybrid,hybrid,深圳信息职业技术大学-B饭堂|Potato Corner(深圳大运天地店)|文通冰室(大运天地店)|黔山QIANSHAAN·贵州菜(大运天地店)|MUJINY木槿钰·创意韩餐(大运天地店)
15,1.0,0.2,0.5,1.0,0.6131471927654584,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,15.825299999999487,hybrid,hybrid,芸山季·云南山珍菌火锅(龙岗星河COCO Park店)|潮发潮汕牛肉店(大运天地店)|八合里潮汕鲜牛肉火锅(龙岗星河CoCo Park店)|中海凯骊酒店-骊轩中餐厅|怂重庆火锅厂(龙岗大运天地店)
16,1.0,0.6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8,14.650500000000122,hybrid,hybrid,蔡澜点心·粤菜(龙岗大运天地店)|悦得闲广式点心茶楼(天光店)|南粤春·奥林宾馆·早茶粤菜·海鲜火锅|Thy yeah·泰嘢西泰料理(大运天地店)|吴庄(龙岗COCO Park店)
17,1.0,0.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,17.044499999999907,hybrid,hybrid,巡味顺德菜(大运店)|南粤春·奥林宾馆·早茶粤菜·海鲜火锅|悦得闲广式点心茶楼(天光店)|蔡澜点心·粤菜(龙岗大运天地店)|浙澜小馆·东海小海鲜(大运旗舰店)
18,1.0,0.6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6,13.104900000000086,hybrid,hybrid,吴庄(龙岗COCO Park店)|吴庄(龙岗大运天地店)|绿茶餐厅(龙岗星河COCO park店)|木屋烧烤(大运店)|Thy yeah·泰嘢西泰料理(大运天地店)
19,1.0,0.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,21.312700000000184,hybrid,hybrid,怂重庆火锅厂(龙岗大运天地店)|MUJINY木槿钰·创意韩餐(大运天地店)|八合里潮汕鲜牛肉火锅(龙岗星河CoCo Park店)|潮发潮汕牛肉店(大运天地店)|费大厨辣椒炒肉(大运天地店)
20,1.0,0.4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4,15.584800000000065,hybrid,hybrid,安又胖韩国烤肉(大运天地店)|MUJINY木槿钰·创意韩餐(大运天地店)|西塔老太太泥炉烤肉(龙岗星河COCOPARK店)|鑫运齐齐哈尔烤肉(大运店)|皖厨·中国徽菜(龙岗大运天地店)
21,1.0,0.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2,12.47550000000075,hybrid,hybrid,Thy yeah·泰嘢西泰料理(大运天地店)|绿茶餐厅(龙岗星河COCO park店)|文通冰室(大运天地店)|八合里潮汕鲜牛肉火锅(龙岗星河CoCo Park店)|深圳市龙岗区湖畔咖啡
22,1.0,0.4,0.6666666666666666,1.0,0.6508205185601091,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,15.64790000000027,hybrid,hybrid,脆鲜生·脆鲩鱼火锅(大运天地店)|巡味顺德菜(大运店)|八合里潮汕鲜牛肉火锅(龙岗星河CoCo Park店)|潮发潮汕牛肉店(大运天地店)|南粤春·奥林宾馆·早茶粤菜·海鲜火锅
23,1.0,0.2,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,13.799599999999579,hybrid,hybrid,黔山QIANSHAAN·贵州菜(大运天地店)|MUJINY木槿钰·创意韩餐(大运天地店)|文通冰室(大运天地店)|Potato Corner(深圳大运天地店)|怂重庆火锅厂(龙岗大运天地店)
24,1.0,0.4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4,16.170000000000684,hybrid,hybrid,PINTXOS品巧思西班牙小馆(大运天地店)|原石牛扒·欢聚·氛围感(大运天地店)|浙澜小馆·东海小海鲜(大运旗舰店)|安又胖韩国烤肉(大运天地店)|费大厨辣椒炒肉(大运天地店)
25,1.0,0.4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,12.794500000000042,hybrid,hybrid,很久以前羊肉串(大运天地店)|木屋烧烤(大运店)|鑫运齐齐哈尔烤肉(大运店)|吴庄(龙岗大运天地店)|清潮·潮菜(龙岗大运天地店)
26,1.0,0.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,16.83330000000005,hybrid,hybrid,同仁四季椰子鸡(龙岗大运天地店)|潮发潮汕牛肉店(大运天地店)|芸山季·云南山珍菌火锅(龙岗星河COCO Park店)|中海凯骊酒店-骊轩中餐厅|八合里潮汕鲜牛肉火锅(龙岗星河CoCo Park店)
27,1.0,0.6,1.0,1.0,0.9674679834891693,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8,11.848400000000758,hybrid,hybrid,GE BAKE·SHORE(大运天地店)|深圳市龙岗区湖畔咖啡|星巴克(深圳香港中文大学店)|blend(大运天地店)|文通冰室(大运天地店)
28,1.0,0.2,0.5,1.0,0.6131471927654584,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,17.557199999999717,hybrid,hybrid,中海凯骊酒店-骊轩中餐厅|怂重庆火锅厂(龙岗大运天地店)|费大厨辣椒炒肉(大运天地店)|巡味顺德菜(大运店)|南粤春·奥林宾馆·早茶粤菜·海鲜火锅
29,1.0,0.4,1.0,1.0,0.9197207891481876,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,14.193500000000192,hybrid,hybrid,萨莉亚意式餐厅(爱联站天光城店)|文通冰室(大运天地店)|Potato Corner(深圳大运天地店)|深圳信息职业技术大学-B饭堂|星巴克(深圳香港中文大学店)
30,1.0,0.6,1.0,1.0,0.9469024295259745,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,13.31089999999957,hybrid,hybrid,木屋烧烤(大运店)|很久以前羊肉串(大运天地店)|清潮·潮菜(龙岗大运天地店)|吴庄(龙岗大运天地店)|鑫运齐齐哈尔烤肉(大运店)
